path,type,size_estimate,matched_run_id,notes
checkpoints/echodiffusion_ambi_soundspaces_BS32_Lr0.0005_AdamW_exp710_eda_cide_input_lr5e4_bs32,checkpoint,3.9G,,no ledger row matches (extracted exp_id=exp710)
checkpoints/echodiffusion_ambi_soundspaces_BS64_Lr0.0005_AdamW_exp710_eda_cide_input_lr5e4_bs64,checkpoint,0,,no ledger row matches (extracted exp_id=exp710)
checkpoints/echodiffusion_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_echodiff_w2v,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/echodiffusion_soundspaces_BS32_Lr0.0001_AdamW_exp958_R5F_S40_echodiff_bs32_r3_ep40,checkpoint,9.4G,,no ledger row matches (extracted exp_id=exp958)
checkpoints/echodiffusion_soundspaces_BS32_Lr0.0001_AdamW_exp983_R4F_S40_echodiff_cosineLR_bs32_r4_ep40,checkpoint,9.4G,,no ledger row matches (extracted exp_id=exp983)
checkpoints/echodiffusion_soundspaces_BS8_Lr0.0001_AdamW_SMOKE_echodiff,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/echonet_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_echonet,checkpoint,0,,no ledger row matches (extracted exp_id=none)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp959_R5F_S40_echorange_scalar_bs32_r3_ep40,checkpoint,9.4G,,no ledger row matches (extracted exp_id=exp959)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp960_R5F_R40_expect_bs32_r3_ep40,checkpoint,9.4G,,no ledger row matches (extracted exp_id=exp960)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp961_R5F_R40_median_bs32_r3_ep40,checkpoint,11G,,no ledger row matches (extracted exp_id=exp961)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp962_R5G_R20_sq_q050_bs32_r3,checkpoint,7.1G,,no ledger row matches (extracted exp_id=exp962)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp963_R5H_R20_sh_L2_l002_bs32_r3,checkpoint,7.1G,,no ledger row matches (extracted exp_id=exp963)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp964_R5I_R20_combo_bs32_r3,checkpoint,5.5G,,no ledger row matches (extracted exp_id=exp964)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp965_R5J_R20_exp907_repro_bs32_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp965)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp966_R5J_R20_cyl_horiz_base_bs32_r3,checkpoint,5.5G,,no ledger row matches (extracted exp_id=exp966)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp967_R5J_R20_cyl_horiz_sq_bs32_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp967)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp978_R4F_R40_sh_l010_bs32_r4_ep40,checkpoint,9.4G,,no ledger row matches (extracted exp_id=exp978)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp979_R4F_R40_sq_q050_t003_bs32_r4_ep40,checkpoint,9.4G,,no ledger row matches (extracted exp_id=exp979)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp980_R4F_R40_sh_sq_combo_bs32_r4_ep40,checkpoint,9.4G,,no ledger row matches (extracted exp_id=exp980)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp981_R4F_R40_expect_cosineLR_bs32_r4_ep40,checkpoint,8.6G,,no ledger row matches (extracted exp_id=exp981)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp982_R4F_R40_full_stack_bs32_r4_ep40,checkpoint,8.6G,,no ledger row matches (extracted exp_id=exp982)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp984_R4S_sh_L0_l010_logd_bs32_r4,checkpoint,7.1G,,no ledger row matches (extracted exp_id=exp984)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp985_R4S_sh_L1_l010_logd_bs32_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp985)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp986_R4S_sh_L2_l010_logd_bs32_r4,checkpoint,7.1G,,no ledger row matches (extracted exp_id=exp986)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp987_R4S_sh_L3_l010_logd_bs32_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp987)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp988_R4S_sh_L4_l010_logd_bs32_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp988)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp989_R4S_sh_L2_l015_logd_bs32_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp989)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp990_R4S_sh_L2_l020_logd_bs32_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp990)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp991_R4S_sh_L2_l030_logd_bs32_r4,checkpoint,7.1G,,no ledger row matches (extracted exp_id=exp991)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp992_R4S_sh_L2_l010_lin_bs32_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp992)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp993_R4S_sh_L1_l030_logd_bs32_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp993)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp994_R4S_sh_L4_l005_logd_bs32_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp994)
checkpoints/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp995_R4S_sh_L3_l005_logd_bs32_r4,checkpoint,5.5G,,no ledger row matches (extracted exp_id=exp995)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp917_echorange_haz32log_d10_strong_lr1e4_bs48_r2,checkpoint,4.0G,,no ledger row matches (extracted exp_id=exp917)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp930_haz_R4_00_rawhit_repro_lr1e4_bs48_r2,checkpoint,1.6G,,no ledger row matches (extracted exp_id=exp930)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp931_haz_R4_01_eventnll_free_lr1e4_bs48_r2,checkpoint,4.0G,,no ledger row matches (extracted exp_id=exp931)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp932_haz_R4_02_eventnll_only_lr1e4_bs48_r2,checkpoint,4.0G,,no ledger row matches (extracted exp_id=exp932)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp933_haz_R4_03_survival_lr1e4_bs48_r2,checkpoint,4.0G,,no ledger row matches (extracted exp_id=exp933)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp934_haz_R4_04_softhit_t075_lr1e4_bs48_r2,checkpoint,4.0G,,no ledger row matches (extracted exp_id=exp934)
