config,model_name,generator,use_ambisonic,rotate_canonical,use_waveform,use_n2_features,use_distance_bins,use_rgb,depth_dir,rep_kind,rep_K,gt_energy_window,depth_weight,foa_weight,hist_weight,kl_weight,lambda_sh,lambda_energy,lambda_sparsity,lambda_kl_energy,lambda_kd,epochs,lr,batch_size,val_iter,freeze_epochs
baseline.yaml,unet_baseline,unet_256,false,,,,,,,,,,,,,,,,,,,40,0.001,32,4,
batvision.yaml,batvision,unet_256,false,,,,,,,,,,,,,,,,,,,40,0.001,32,4,
echodiff_sh_side_plus.yaml,echodiff_sh_side_plus,echodiff_sh_side_plus,true,true,false,,true,,erp_depth_radial,eigen,8,early_mid,1.0,,,,0.0,0.0,0.0,,,40,0.0005,128,4,
echodiffusion.yaml,echodiffusion,echodiffusion,false,,true,,,,,,,,,,,,,,,,,40,0.0001,32,4,
echodiffusion_ambi.yaml,echodiffusion_ambi,echodiffusion_ambi,true,true,false,,true,,erp_depth_radial,eigen,8,early_mid,1.0,,,,0.0,0.0,0.05,,,40,0.0005,32,4,
echodiffusion_ambi_cide.yaml,echodiffusion_ambi,echodiffusion_ambi,true,true,true,,true,,erp_depth_radial,eigen,8,early_mid,1.0,,,,0.0,0.0,0.05,,,40,0.0005,64,4,
echodiffusion_ambi_sh.yaml,echodiffusion_ambi_sh,echodiffusion_ambi_sh,true,true,true,,true,,erp_depth_radial,eigen,8,early_mid,1.0,,,,0.0,0.0,0.0,,,40,0.0005,32,4,
echonet.yaml,echonet,echonet,false,,,,,,,,,,,,,,,,,,,40,0.001,32,4,
foa.yaml,audio_depth_foa,unet_256,true,,,,,,,,,,1.0,0.1,0.1,,,,,,,40,0.001,32,4,0
foa_0415_v1.yaml,foa_0415_v1,unet_256,true,true,,,,,,,,,1.0,,,,0.1,,,,,25,0.001,32,4,
foa_0415_v2.yaml,foa_0415_v2,unet_256,true,true,,,,,,,,,1.0,,,,0.1,,,,,25,0.001,32,4,
foa_0415_v3.yaml,foa_0415_v3,unet_256,true,true,,,,,,,,,1.0,,,,0.1,,,,,25,0.001,32,4,
foa_0415_v4.yaml,foa_0415_v4,unet_256,true,true,,,,,,,,,1.0,,,,0.1,,,,,25,0.001,32,4,
foa_0415_v5.yaml,foa_0415_v5,unet_256,true,true,,,,,,,,,1.0,,,,0.1,,,,,25,0.001,32,4,
foa_channelattn.yaml,foa_channelattn,unet_256,true,,,,,,,,,,1.0,0.1,0.1,0.01,,,,,,40,0.001,32,4,0
foa_crossattn.yaml,foa_crossattn,unet_256,true,,,,,,,,,,1.0,0.1,0.1,0.01,,,,,,40,0.001,32,4,0
foa_featbank.yaml,foa_featbank,unet_256,true,,,,,,,,,,1.0,0.1,0.1,0.01,,,,,,40,0.001,32,4,0
foa_msattn.yaml,foa_msattn,unet_256,true,,,,,,,,,,1.0,0.1,0.1,0.01,,,,,,40,0.001,32,4,0
foa_oracle.yaml,foa_oracle,unet_256,true,true,,,,,,,,,1.0,,,,0.1,,,,,25,0.001,32,4,
