family,n_runs,metric,mean,std,min_value,min_exp,max_value,max_exp,range,source
pretrained_resnet,5,ABS_REL,0.5179,0.0230,0.4964,exp369,0.5554,exp365,0.0590,docs/table.md
pretrained_resnet,5,RMSE,1.3343,0.0176,1.3154,exp365,1.3601,exp369,0.0447,docs/table.md
pretrained_resnet,5,delta1,0.4569,0.0137,0.4371,exp369,0.4688,exp365,0.0317,docs/table.md
pretrained_resnet,5,delta2,0.6675,0.0091,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,docs/table.md
pretrained_resnet,5,delta3,0.7990,0.0047,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,docs/table.md
pretrained_resnet,5,Log10,0.1748,0.0027,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,docs/table.md
pretrained_resnet,5,MAE,0.8673,0.0093,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,docs/table.md
vit_baseline,5,ABS_REL,0.5098,0.0353,0.4703,exp357,0.5664,exp358,0.0961,docs/table.md
vit_baseline,5,RMSE,1.2947,0.0514,1.2593,exp359,1.3783,exp358,0.1190,docs/table.md
vit_baseline,5,delta1,0.4660,0.0188,0.4373,exp358,0.4836,exp356,0.0463,docs/table.md
unet_baseline,5,ABS_REL,0.4621,0.0090,0.4486,exp350,0.4703,exp352,0.0217,docs/table.md
unet_baseline,5,RMSE,1.2297,0.0104,1.2117,exp354,1.2386,exp351,0.0269,docs/table.md
unet_baseline,5,delta1,0.4979,0.0017,0.4952,exp350,0.4992,exp351/exp352,0.0040,docs/table.md
echodiffusion,5,ABS_REL,0.4847,0.0516,0.4482,exp363,0.5748,exp361,0.1266,docs/table.md
echodiffusion,5,RMSE,1.2483,0.0336,1.2198,exp363,1.3055,exp364,0.0857,docs/table.md
echodiffusion,5,delta1,0.4866,0.0111,0.4713,exp361,0.4972,exp360,0.0259,docs/table.md
pretrained_vit,5,ABS_REL,0.4602,0.0290,0.4226,exp371,0.4985,exp374,0.0759,docs/table.md
pretrained_vit,5,RMSE,1.2463,0.0202,1.2269,exp373,1.2806,exp371,0.0537,docs/table.md
pretrained_vit,5,delta1,0.4878,0.0082,0.4795,exp370,0.4993,exp373,0.0198,docs/table.md
